home_team,away_team,home_goals,away_goals
Internacional,Bahia,2,1
Criciuma,Juventude,1,1
Fluminense,RB Bragantino,2,2
Sao Paulo,Fortaleza EC,1,2
Corinthians,Atletico-MG,0,0
Vasco DA Gama,Gremio,2,1
Atletico Paranaense,Cuiaba,4,0
Atletico Goianiense,Flamengo,1,2
Cruzeiro,Botafogo,3,2
Vitoria,Palmeiras,0,1
Bahia,Fluminense,2,1
Gremio,Atletico Paranaense,2,0
RB Bragantino,Vasco DA Gama,2,1
Palmeiras,Internacional,0,1
Juventude,Corinthians,2,0
Fortaleza EC,Cruzeiro,1,1
Atletico-MG,Criciuma,1,1
Flamengo,Sao Paulo,2,1
Botafogo,Atletico Goianiense,1,0
Fluminense,Vasco DA Gama,2,1
Gremio,Cuiaba,1,0
RB Bragantino,Corinthians,1,0
Atletico-MG,Cruzeiro,3,0
Palmeiras,Flamengo,0,0
Atletico Paranaense,Internacional,1,0
Vitoria,Bahia,2,2
Botafogo,Juventude,5,1
Atletico Goianiense,Sao Paulo,0,3
Vasco DA Gama,Criciuma,0,4
Cuiaba,Atletico-MG,0,3
Bahia,Gremio,1,0
Flamengo,Botafogo,0,2
Corinthians,Fluminense,3,0
Cruzeiro,Vitoria,3,1
Juventude,Atletico Paranaense,1,1
Fortaleza EC,RB Bragantino,1,1
Internacional,Atletico Goianiense,1,1
Sao Paulo,Palmeiras,0,0
Fluminense,Atletico-MG,2,2
RB Bragantino,Flamengo,1,1
Corinthians,Fortaleza EC,0,0
Atletico Paranaense,Vasco DA Gama,1,0
Vitoria,Sao Paulo,1,3
Botafogo,Bahia,1,2
Cuiaba,Palmeiras,0,2
Flamengo,Corinthians,2,0
Palmeiras,Atletico Paranaense,0,2
Atletico Goianiense,Cruzeiro,0,1
Fortaleza EC,Botafogo,1,1
Bahia,RB Bragantino,1,0
Vasco DA Gama,Vitoria,2,1
Sao Paulo,Fluminense,2,1
Gremio,RB Bragantino,0,2
Vitoria,Atletico Goianiense,0,2
Fluminense,Juventude,1,1
Cuiaba,Internacional,0,1
Corinthians,Botafogo,0,1
Vasco DA Gama,Flamengo,1,6
Criciuma,Palmeiras,1,2
Atletico-MG,Bahia,1,1
Sao Paulo,Cruzeiro,2,0
Fortaleza EC,Atletico Paranaense,1,0
Juventude,Atletico Goianiense,1,0
Cuiaba,Vitoria,0,0
Criciuma,Cuiaba,2,5
Atletico Goianiense,Corinthians,2,2
Juventude,Vitoria,1,1
Botafogo,Fluminense,1,0
RB Bragantino,Atletico-MG,1,2
Cruzeiro,Cuiaba,2,1
Internacional,Sao Paulo,0,0
Flamengo,Gremio,2,1
Atletico Paranaense,Criciuma,3,1
Bahia,Fortaleza EC,1,0
Palmeiras,Vasco DA Gama,2,0
RB Bragantino,Juventude,2,1
Fluminense,Atletico Goianiense,1,2
Corinthians,Sao Paulo,2,2
Atletico Paranaense,Flamengo,1,1
Vitoria,Internacional,2,1
Gremio,Botafogo,1,2
Vasco DA Gama,Cruzeiro,0,0
Criciuma,Bahia,2,2
Cuiaba,Fortaleza EC,5,0
Atletico-MG,Palmeiras,0,4
Botafogo,Atletico Paranaense,1,1
Atletico Goianiense,Criciuma,1,2
Sao Paulo,Cuiaba,0,1
Juventude,Vasco DA Gama,2,0
Fortaleza EC,Gremio,1,0
Internacional,Corinthians,1,0
Cruzeiro,Fluminense,2,0
Vitoria,Atletico-MG,4,2
Flamengo,Bahia,2,1
Palmeiras,RB Bragantino,2,1
Criciuma,Botafogo,2,1
Gremio,Internacional,0,1
Cuiaba,Atletico Goianiense,0,0
Vasco DA Gama,Sao Paulo,4,1
Bahia,Cruzeiro,4,1
Fluminense,Flamengo,0,1
Atletico Paranaense,Corinthians,1,1
Palmeiras,Juventude,3,1
RB Bragantino,Vitoria,2,1
Atletico-MG,Fortaleza EC,1,1
Botafogo,RB Bragantino,2,1
Cruzeiro,Atletico Paranaense,2,0
Corinthians,Cuiaba,1,1
Atletico Goianiense,Gremio,1,1
Juventude,Flamengo,2,1
Bahia,Vasco DA Gama,2,1
Internacional,Atletico-MG,1,2
Fortaleza EC,Palmeiras,3,0
Fluminense,Vitoria,0,1
Sao Paulo,Criciuma,2,1
Vasco DA Gama,Botafogo,1,1
Cuiaba,RB Bragantino,1,1
Atletico-MG,Atletico Goianiense,1,1
Sao Paulo,Bahia,3,1
Gremio,Fluminense,1,0
Fortaleza EC,Juventude,2,1
Flamengo,Cruzeiro,2,1
Vitoria,Atletico Paranaense,0,1
Criciuma,Internacional,1,1
Palmeiras,Corinthians,2,0
Cuiaba,Botafogo,1,2
Vasco DA Gama,Fortaleza EC,2,0
Criciuma,Cruzeiro,1,0
Atletico Paranaense,Sao Paulo,1,2
RB Bragantino,Atletico Goianiense,3,1
Atletico-MG,Flamengo,2,4
Bahia,Juventude,2,0
Gremio,Palmeiras,2,2
Fluminense,Internacional,1,1
Corinthians,Vitoria,3,2
Sao Paulo,RB Bragantino,2,0
Flamengo,Cuiaba,1,1
Cruzeiro,Corinthians,3,0
Juventude,Gremio,3,0
Fortaleza EC,Fluminense,1,0
Internacional,Vasco DA Gama,1,2
Palmeiras,Bahia,2,0
Vitoria,Criciuma,2,1
Atletico Goianiense,Atletico Paranaense,1,2
Botafogo,Atletico-MG,3,0
Gremio,Cruzeiro,0,2
Vasco DA Gama,Corinthians,2,0
Atletico Paranaense,Bahia,1,3
Palmeiras,Atletico Goianiense,3,1
Flamengo,Fortaleza EC,1,2
Criciuma,Fluminense,1,1
Vitoria,Botafogo,0,1
Atletico-MG,Sao Paulo,2,1
Bahia,Cuiaba,1,2
Cruzeiro,RB Bragantino,2,1
Juventude,Atletico-MG,1,1
Corinthians,Criciuma,2,1
Atletico Goianiense,Vasco DA Gama,0,1
Sao Paulo,Gremio,1,0
Botafogo,Palmeiras,1,0
Fortaleza EC,Vitoria,3,1
Flamengo,Criciuma,2,1
Botafogo,Internacional,1,0
Palmeiras,Cruzeiro,2,0
Gremio,Vitoria,2,0
Bahia,Corinthians,0,1
Atletico-MG,Vasco DA Gama,2,0
Juventude,Sao Paulo,0,0
Fortaleza EC,Atletico Goianiense,3,1
RB Bragantino,Atletico Paranaense,1,0
Cuiaba,Fluminense,0,1
Cruzeiro,Juventude,2,0
Criciuma,Fortaleza EC,1,1
Sao Paulo,Botafogo,2,2
Vitoria,Flamengo,1,2
Fluminense,Palmeiras,1,0
Atletico Goianiense,Bahia,1,1
Corinthians,Gremio,2,2
Palmeiras,Vitoria,0,2
Juventude,Criciuma,1,2
Bahia,Internacional,1,1
Botafogo,Cruzeiro,0,3
Fortaleza EC,Sao Paulo,1,0
RB Bragantino,Fluminense,0,1
Flamengo,Atletico Goianiense,2,0
Gremio,Vasco DA Gama,1,0
Atletico-MG,Corinthians,2,1
Cuiaba,Atletico Paranaense,1,2
Vitoria,Cuiaba,1,0
Vasco DA Gama,RB Bragantino,2,2
Criciuma,Atletico-MG,2,1
Atletico Goianiense,Botafogo,1,4
Sao Paulo,Flamengo,1,0
Fluminense,Bahia,1,0
Corinthians,Juventude,1,1
Atletico Paranaense,Gremio,0,2
Internacional,Palmeiras,1,1
Cruzeiro,Fortaleza EC,1,2
Fortaleza EC,Criciuma,1,0
Cuiaba,Gremio,1,3
Corinthians,RB Bragantino,1,1
Vasco DA Gama,Fluminense,2,0
Cruzeiro,Atletico-MG,0,0
Juventude,Botafogo,3,2
Bahia,Vitoria,2,0
Sao Paulo,Atletico Goianiense,1,0
Flamengo,Palmeiras,1,1
Internacional,Atletico Paranaense,2,2
Internacional,Juventude,2,1
Gremio,Bahia,0,2
Atletico-MG,Cuiaba,1,1
RB Bragantino,Fortaleza EC,1,2
Fluminense,Corinthians,0,0
Palmeiras,Sao Paulo,2,1
Criciuma,Vasco DA Gama,2,2
Atletico Goianiense,Internacional,1,0
Botafogo,Flamengo,4,1
Atletico Paranaense,Juventude,1,2
Vitoria,Cruzeiro,2,2
Atletico Goianiense,Juventude,2,1
Palmeiras,Cuiaba,5,0
Atletico-MG,Fluminense,0,2
Bahia,Botafogo,0,0
Criciuma,Gremio,0,1
Fortaleza EC,Corinthians,1,0
Sao Paulo,Vitoria,2,1
Internacional,Cruzeiro,1,0
Flamengo,RB Bragantino,2,1
Vasco DA Gama,Atletico Paranaense,2,1
Cruzeiro,Internacional,0,0
Criciuma,RB Bragantino,1,0
Cuiaba,Criciuma,2,1
Botafogo,Fortaleza EC,2,0
Gremio,Atletico-MG,2,3
Cruzeiro,Atletico Goianiense,3,1
Corinthians,Flamengo,2,1
Fluminense,Sao Paulo,2,0
Atletico Paranaense,Palmeiras,0,2
Vitoria,Vasco DA Gama,0,1
Juventude,Internacional,1,3
RB Bragantino,Bahia,2,1
Cuiaba,Juventude,0,0
Internacional,Fortaleza EC,2,1
Atletico Goianiense,Vitoria,0,2
Atletico Paranaense,Fortaleza EC,1,1
Botafogo,Corinthians,2,1
Palmeiras,Criciuma,5,0
Juventude,Fluminense,2,1
RB Bragantino,Gremio,2,2
Bahia,Atletico-MG,3,0
